"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/2024","2,504.03","2,500.50","2,543.99","2,480.99","7.62B","-0.60%"
"10/10/2024","2,519.21","2,532.15","2,574.82","2,460.31","10.90B","0.37%"
"10/09/2024","2,509.92","2,649.99","2,666.31","2,509.92","9.39B","-7.30%"
"10/08/2024","2,707.59","2,822.26","2,822.26","2,615.36","11.23B","5.28%"
"09/30/2024","2,571.74","2,496.05","2,583.70","2,448.84","10.17B","7.70%"
"09/27/2024","2,387.93","2,356.96","2,388.37","2,324.25","4.85B","3.18%"
"09/26/2024","2,314.22","2,213.98","2,314.22","2,212.96","6.97B","4.22%"
"09/25/2024","2,220.56","2,215.64","2,262.28","2,212.99","5.76B","1.51%"
"09/24/2024","2,187.45","2,112.94","2,187.54","2,107.76","5.20B","4.33%"
"09/23/2024","2,096.67","2,086.84","2,105.16","2,080.11","2.74B","0.47%"
"09/20/2024","2,086.82","2,073.68","2,089.45","2,071.30","3.21B","0.48%"
"09/19/2024","2,076.95","2,061.78","2,091.60","2,049.22","3.59B","1.07%"
"09/18/2024","2,055.00","2,047.72","2,059.44","2,028.69","3.28B","0.33%"
"09/13/2024","2,048.16","2,056.09","2,073.61","2,047.05","3.50B","-0.37%"
"09/12/2024","2,055.68","2,053.61","2,065.80","2,049.83","2.86B","-0.08%"
"09/11/2024","2,057.35","2,075.79","2,075.83","2,045.48","3.13B","-1.33%"
"09/10/2024","2,085.18","2,087.22","2,090.11","2,063.34","3.43B","-0.03%"
"09/09/2024","2,085.75","2,088.43","2,101.85","2,078.46","3.27B","-0.68%"
"09/06/2024","2,099.98","2,112.10","2,133.14","2,097.94","3.58B","0.32%"
"09/05/2024","2,093.32","2,078.75","2,095.60","2,077.83","2.22B","0.81%"
"09/04/2024","2,076.56","2,071.68","2,089.24","2,070.87","2.20B","-0.12%"
"09/03/2024","2,079.15","2,082.82","2,085.77","2,070.89","2.46B","-0.19%"
"09/02/2024","2,083.08","2,105.77","2,111.41","2,082.54","3.30B","-1.33%"
"08/30/2024","2,111.15","2,098.57","2,136.40","2,094.56","4.03B","0.55%"
"08/29/2024","2,099.66","2,117.40","2,122.12","2,099.50","2.62B","-1.14%"
"08/28/2024","2,123.94","2,130.46","2,133.45","2,118.64","1.95B","-0.24%"
"08/27/2024","2,129.04","2,137.64","2,140.62","2,124.69","1.89B","-0.55%"
"08/26/2024","2,140.82","2,133.28","2,141.96","2,126.95","1.79B","0.32%"
"08/23/2024","2,134.07","2,130.70","2,144.43","2,120.98","2.01B","0.15%"
"08/22/2024","2,130.87","2,143.20","2,150.37","2,129.04","2.36B","-0.61%"
"08/21/2024","2,143.99","2,150.92","2,156.62","2,138.89","2.01B","-0.65%"
"08/20/2024","2,158.00","2,175.73","2,177.10","2,150.61","2.50B","-0.79%"
"08/19/2024","2,175.14","2,150.70","2,175.90","2,150.70","2.91B","1.09%"
"08/16/2024","2,151.70","2,150.94","2,158.17","2,142.91","2.55B","-0.05%"
"08/15/2024","2,152.72","2,130.68","2,162.82","2,129.25","2.53B","0.93%"
"08/14/2024","2,132.97","2,144.02","2,149.74","2,130.68","2.05B","-0.64%"
"08/13/2024","2,146.72","2,129.24","2,146.72","2,124.42","2.37B","0.81%"
"08/12/2024","2,129.56","2,135.75","2,141.00","2,124.06","1.91B","-0.60%"
"08/09/2024","2,142.37","2,164.61","2,168.60","2,142.37","2.50B","-0.67%"
"08/08/2024","2,156.79","2,148.45","2,170.36","2,140.53","2.91B","0.20%"
"08/07/2024","2,152.40","2,154.65","2,162.84","2,147.48","2.20B","-0.26%"
"08/06/2024","2,158.10","2,167.32","2,173.45","2,139.21","2.63B","0.21%"
"08/05/2024","2,153.55","2,168.14","2,193.44","2,152.69","3.00B","-0.99%"
"08/02/2024","2,175.18","2,180.83","2,194.17","2,172.56","2.59B","-0.70%"
"08/01/2024","2,190.44","2,193.68","2,208.15","2,189.42","3.18B","-0.43%"
"07/31/2024","2,199.86","2,143.89","2,206.05","2,143.47","3.83B","2.63%"
"07/30/2024","2,143.51","2,143.35","2,150.40","2,133.02","2.09B","-0.15%"
"07/29/2024","2,146.81","2,130.74","2,151.61","2,122.96","1.95B","0.43%"
"07/26/2024","2,137.68","2,132.95","2,151.91","2,125.10","2.20B","0.33%"
"07/25/2024","2,130.55","2,124.34","2,138.15","2,119.64","2.17B","0.17%"
"07/24/2024","2,126.98","2,136.74","2,144.65","2,124.24","2.22B","-0.65%"
"07/23/2024","2,140.85","2,157.23","2,168.85","2,140.54","2.67B","-0.99%"
"07/22/2024","2,162.28","2,178.05","2,178.87","2,146.97","2.24B","-0.67%"
"07/19/2024","2,176.80","2,167.69","2,179.23","2,155.40","2.36B","0.16%"
"07/18/2024","2,173.31","2,164.11","2,175.11","2,146.58","2.23B","0.02%"
"07/17/2024","2,172.86","2,161.75","2,179.18","2,160.09","2.31B","0.55%"
"07/16/2024","2,160.89","2,161.60","2,169.56","2,150.91","1.97B","-0.08%"
"07/15/2024","2,162.71","2,160.26","2,164.75","2,150.51","2.03B","0.03%"
"07/12/2024","2,162.04","2,148.71","2,166.06","2,146.53","2.13B","0.56%"
"07/11/2024","2,150.00","2,155.52","2,159.18","2,141.52","2.46B","0.01%"
"07/10/2024","2,149.84","2,151.45","2,165.80","2,146.93","2.06B","-0.47%"
"07/09/2024","2,159.89","2,134.12","2,162.03","2,111.79","2.49B","1.23%"
"07/08/2024","2,133.69","2,159.26","2,164.61","2,129.14","2.27B","-1.52%"
"07/05/2024","2,166.69","2,177.50","2,178.80","2,153.30","2.28B","-0.65%"
"07/04/2024","2,180.97","2,216.70","2,219.98","2,179.82","2.35B","-1.62%"
"07/03/2024","2,216.93","2,223.21","2,228.75","2,214.90","2.17B","-0.25%"
"07/02/2024","2,222.58","2,213.99","2,231.69","2,212.14","2.24B","0.31%"
"07/01/2024","2,215.62","2,191.08","2,218.14","2,183.50","2.18B","1.03%"
"06/28/2024","2,192.97","2,197.80","2,225.16","2,188.60","2.53B","-0.33%"
"06/27/2024","2,200.14","2,202.49","2,214.16","2,193.27","2.19B","-0.58%"
"06/26/2024","2,212.96","2,183.65","2,214.94","2,181.14","2.08B","0.90%"
"06/25/2024","2,193.13","2,198.27","2,208.25","2,181.81","2.22B","-0.27%"
"06/24/2024","2,199.11","2,225.10","2,225.10","2,193.53","2.34B","-1.46%"
"06/21/2024","2,231.59","2,232.70","2,244.25","2,227.82","1.80B","-0.10%"
"06/20/2024","2,233.77","2,255.50","2,263.11","2,232.08","2.21B","-1.12%"
"06/19/2024","2,259.08","2,268.68","2,272.88","2,258.27","2.12B","-0.40%"
"06/18/2024","2,268.17","2,255.10","2,271.69","2,252.76","2.13B","0.51%"
"06/17/2024","2,256.62","2,262.63","2,269.07","2,251.93","2.43B","-0.77%"
"06/14/2024","2,274.08","2,259.14","2,284.31","2,248.75","3.41B","0.19%"
"06/13/2024","2,269.70","2,293.81","2,294.28","2,264.74","2.60B","-0.98%"
"06/12/2024","2,292.20","2,291.27","2,296.73","2,279.81","2.36B","-0.12%"
"06/11/2024","2,294.99","2,305.00","2,307.90","2,287.37","2.63B","-0.75%"
"06/07/2024","2,312.39","2,311.56","2,323.85","2,290.08","2.76B","0.31%"
"06/06/2024","2,305.30","2,333.89","2,338.01","2,300.21","2.78B","-1.18%"
"06/05/2024","2,332.75","2,361.64","2,361.64","2,332.04","2.17B","-1.34%"
"06/04/2024","2,364.45","2,348.96","2,367.85","2,343.45","2.22B","0.54%"
"06/03/2024","2,351.64","2,377.23","2,377.23","2,335.74","3.02B","-1.29%"
"05/31/2024","2,382.30","2,386.32","2,395.64","2,382.30","1.85B","-0.02%"
"05/30/2024","2,382.75","2,389.74","2,403.57","2,376.71","1.99B","-0.59%"
"05/29/2024","2,396.91","2,401.39","2,415.64","2,387.18","1.99B","-0.34%"
"05/28/2024","2,405.14","2,426.12","2,426.12","2,401.14","2.01B","-0.97%"
"05/27/2024","2,428.67","2,410.36","2,429.71","2,401.29","2.28B","0.99%"
